,Station_id,Inspection Station,latitude,longitude,Overall_inspection_count,Emissions_inspection_count,Overall_fails,Safety_fails,Emissions_fails,Overall_fail_rate,Safety_fail_rate,Emissions_fail_rate,Overall_fail_rate_per_station,Safety_fail_rate_per_station,Emissions_fail_rate_per_station
263,PB050765,MANTHORNE AUTOMOTIVE,42.141843,-71.996395,4008,3321,401,277,143,0.001027299,0.001197491,0.000813281,0.1000499,0.069111776,0.043059319
264,PB044106,"FRESH POND SHELL, INC.",42.383344,-71.142493,3404,2918,400,275,135,0.001024737,0.001188845,0.000767783,0.117508813,0.080787309,0.046264565
265,PB004560,"RW'S, INC.",42.286743,-73.242806,8229,6732,400,183,232,0.001024737,0.000791122,0.001319449,0.048608579,0.022238425,0.03446227
266,PB036659,STAR TECH AUTO REPAIR,42.269026,-71.779366,4020,2928,399,133,291,0.001022175,0.000574969,0.001654998,0.099253731,0.033084577,0.099385246
267,PB004487,MY MECHANIC,42.566688,-71.592366,4968,4252,399,295,117,0.001022175,0.001275306,0.000665412,0.08031401,0.059380032,0.027516463
268,PB100029,1012 Main Street Automotive,42.464951,-71.145803,4322,3684,397,291,117,0.001017052,0.001258014,0.000665412,0.091855622,0.06732994,0.031758958
269,PB012710,CLIFTONDALE SANTOS INC,42.448552,-71.010337,5573,4420,396,163,240,0.00101449,0.000704661,0.001364947,0.071056881,0.029248161,0.054298643
270,PB016115,DELCORP MASS STATE INSPECTION,42.087863,-70.927697,3169,2389,394,290,129,0.001009366,0.001253691,0.000733659,0.124329441,0.091511518,0.053997488
271,PB050610,"R & D CUSTOM EXHAUST, INC.",42.570764,-71.276687,5169,4157,393,217,189,0.001006804,0.000938107,0.001074896,0.07603018,0.041981041,0.04546548
272,PB100120,NORTH WEYMOUTH SHELL,42.242603,-70.951823,8002,5813,391,77,319,0.001001681,0.000332877,0.001814242,0.048862784,0.009622594,0.054877
273,PB004725,LEXINGTON GULF AUTO SERVICE,42.452445,-71.231855,6059,5314,390,269,132,0.000999119,0.001162906,0.000750721,0.064367057,0.044396765,0.024840045
274,PB005727,CAPE AUTO BODY,41.957256,-70.67543,4966,4445,389,323,85,0.000996557,0.001396352,0.000483419,0.078332662,0.065042288,0.01912261
275,PB050218,TRUST PETROLEUM INC,42.122026,-70.915783,3609,3072,388,257,149,0.000993995,0.001111029,0.000847405,0.107509005,0.071210862,0.048502604
276,PB050072,LBI TRUCK & BUS REPAIR,42.114658,-72.728056,3609,2876,386,221,181,0.000988871,0.000955399,0.001029398,0.106954835,0.061235799,0.062934631
277,PB023917,CAPE COD FILLING STATION,41.746314,-70.610318,3536,2780,385,286,122,0.00098631,0.001236399,0.000693848,0.10888009,0.080882353,0.043884892
